code,is_vulnerable,urgency_score,source_dataset,cwe,vulnerability_type,source
"def load_template(template_name):
    allowed_templates = ['index.html', 'about.html', 'contact.html']
    if template_name not in allowed_templates:
        raise ValueError(""Invalid template"")
    return open(f""templates/{template_name}"").read()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def show_error(error_msg):
    return ""<div class='error'>"" + error_msg + ""</div>""",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def download_url(url):
    subprocess.call(f""wget {url}"", shell=True)",1,92.37562830733243,cve_like_training.csv,CWE-78,command_injection,cve_like
"def calculate():
    with open('data.txt', 'w') as f: f.write(text)
    return result",0,16.18441336122749,training_dataset.csv,None,safe,safe_code
"def compile_template(template):
    compiled = compile(template, '<string>', 'exec')
    exec(compiled)",1,80.0,real_cve_dataset.csv,CWE-94,code_injection,pattern_analysis
"def get_log_file(log_name):
    log_path = f""/var/logs/{log_name}""
    with open(log_path) as f:
        return f.read()",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def load_template(template_name):
    path = ""templates/"" + template_name
    return open(path).read()",1,83.40741462340421,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def parse_xml(xml_data):
    from lxml import etree
    doc = etree.parse(xml_data)
    return doc",1,80.0,real_cve_dataset.csv,CWE-611,xxe,pattern_analysis
"def connect_to_db():
    import os
    password = os.environ.get('DB_PASSWORD')
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",0,16.55050693991447,cve_like_training.csv,None,safe,safe_code
"def read_file(filename):
    safe_name = os.path.basename(filename)
    safe_path = os.path.join(""uploads"", safe_name)
    if not os.path.abspath(safe_path).startswith(os.path.abspath(""uploads"")):
        raise ValueError(""Invalid path"")
    with open(safe_path, 'r') as f:
        return f.read()",0,17.432876754570458,cve_like_training.csv,None,safe,safe_code
"def authenticate():
    import os
    API_KEY = os.environ.get('API_KEY')
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",0,22.870835399560647,cve_like_training.csv,None,safe,safe_code
"def get_user(user_id):
    query = ""SELECT * FROM users WHERE id="" + str(user_id)
    cursor.execute(query)
    return cursor.fetchone()",1,98.25148308335704,cve_like_training.csv,CWE-89,sql_injection,cve_like
"def convert_image(input_file, output_file):
    cmd = f""convert {input_file} {output_file}""
    os.system(cmd)",1,80.0,real_cve_dataset.csv,CWE-78,command_injection,pattern_analysis
"def execute_formula(formula):
    result = eval(formula)
    return result",1,80.0,real_cve_dataset.csv,CWE-94,code_injection,pattern_analysis
"def connect_to_db():
    password = ""admin123""
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",1,80.0,real_cve_dataset.csv,CWE-798,hardcoded_credentials,pattern_analysis
"def process_xml(xml_file):
    from xml.dom import minidom
    doc = minidom.parse(xml_file)
    return doc",1,80.0,real_cve_dataset.csv,CWE-611,xxe,pattern_analysis
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def load_session(session_data):
    import json
    return json.loads(session_data)",0,22.58540781101141,cve_like_training.csv,None,safe,safe_code
"def execute_formula(formula):
    import ast
    allowed_ops = {ast.Add, ast.Sub, ast.Mult, ast.Div}
    tree = ast.parse(formula, mode='eval')
    for node in ast.walk(tree):
        if isinstance(node, ast.operator) and type(node) not in allowed_ops:
            raise ValueError(""Invalid operation"")
    result = ast.literal_eval(formula)
    return result",0,12.228349468325913,cve_like_training.csv,None,safe,safe_code
"def connect_to_db():
    password = ""admin123""
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",1,80.0,real_cve_dataset.csv,CWE-798,hardcoded_credentials,pattern_analysis
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,24.141734514672105,cve_like_training.csv,None,safe,safe_code
"def render_user_profile(name, bio):
    html = f""<h1>{name}</h1><p>{bio}</p>""
    return html",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,94.64232159850992,cve_like_training.csv,CWE-798,hardcoded_secrets,cve_like
"def execute_formula(formula):
    import ast
    allowed_ops = {ast.Add, ast.Sub, ast.Mult, ast.Div}
    tree = ast.parse(formula, mode='eval')
    for node in ast.walk(tree):
        if isinstance(node, ast.operator) and type(node) not in allowed_ops:
            raise ValueError(""Invalid operation"")
    result = ast.literal_eval(formula)
    return result",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def restore_object(data):
    import json
    obj = json.loads(base64.b64decode(data))
    return obj",0,10.092605580000264,cve_like_training.csv,None,safe,safe_code
db.query('INSERT INTO logs VALUES(' + data + ')'),1,50.1055603898563,training_dataset.csv,CWE-20,generic_vulnerability,fallback
"# API endpoint
exec(compiled_code)",1,100.0,training_dataset.csv,CWE-94,code_injection,pattern_analysis
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
combined = list1 + list2,0,7.653448359657569,training_dataset.csv,None,safe,safe_code
"def display_comment(comment):
    import html
    safe_comment = html.escape(comment)
    return f""<div class='comment'>{safe_comment}</div>""",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"# Helper function
print(f'Result: {result}')",0,20.14291583816564,training_dataset.csv,None,safe,safe_code
"def get_user(user_id):
    query = ""SELECT * FROM users WHERE id=?""
    cursor.execute(query, (user_id,))
    return cursor.fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def render_user_profile(name, bio):
    html = f""<h1>{name}</h1><p>{bio}</p>""
    return html",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def ping_host(hostname):
    result = subprocess.run(f""ping -c 4 {hostname}"", shell=True)
    return result.stdout",1,80.0,real_cve_dataset.csv,CWE-78,command_injection,pattern_analysis
"def ping_host(hostname):
    import ipaddress
    ipaddress.ip_address(hostname)  # Validate
    result = subprocess.run([""ping"", ""-c"", ""4"", hostname], capture_output=True)
    return result.stdout",0,17.030006398332297,cve_like_training.csv,None,safe,safe_code
"def update_email(user_id, email):
    query = f""UPDATE users SET email='{email}' WHERE id={user_id}""
    cursor.execute(query)",1,91.0659489230663,cve_like_training.csv,CWE-89,sql_injection,cve_like
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,13.646873780961728,cve_like_training.csv,None,safe,safe_code
"def restore_object(data):
    import pickle
    obj = pickle.loads(base64.b64decode(data))
    return obj",1,80.0,real_cve_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
"def read_file(filename):
    safe_name = os.path.basename(filename)
    safe_path = os.path.join(""uploads"", safe_name)
    if not os.path.abspath(safe_path).startswith(os.path.abspath(""uploads"")):
        raise ValueError(""Invalid path"")
    with open(safe_path, 'r') as f:
        return f.read()",0,20.018278712927327,cve_like_training.csv,None,safe,safe_code
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def backup_file(filename):
    os.system(f""tar -czf backup.tar.gz {filename}"")",1,99.78058811545792,cve_like_training.csv,CWE-78,command_injection,cve_like
"def run_user_code(code):
    exec(code)",1,80.0,real_cve_dataset.csv,CWE-94,code_injection,pattern_analysis
import json,0,17.288849812873107,training_dataset.csv,None,safe,safe_code
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,85.48907726395818,cve_like_training.csv,CWE-798,hardcoded_secrets,cve_like
"cursor.execute(f""SELECT * FROM users WHERE id = {user_id}"")",1,100.0,training_dataset.csv,CWE-20,generic_vulnerability,fallback
import numpy as np,0,31.8938209355104,training_dataset.csv,None,safe,safe_code
"def include_file(file_path):
    return open(file_path, 'r').read()",1,79.6371946490394,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def restore_object(data):
    import json
    obj = json.loads(base64.b64decode(data))
    return obj",0,12.360368913192712,cve_like_training.csv,None,safe,safe_code
"def process_data(data):
    cursor.execute(""DELETE FROM users WHERE username='"" + username + ""')"")
    return result",1,100.0,training_dataset.csv,CWE-89,sql_injection,pattern_analysis
"def restore_object(data):
    import pickle
    obj = pickle.loads(base64.b64decode(data))
    return obj",1,82.72727157539026,cve_like_training.csv,CWE-502,deserialization,cve_like
"def authenticate():
    API_KEY = ""sk-1234567890abcdef""
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",1,86.90119826521466,cve_like_training.csv,CWE-798,hardcoded_secrets,cve_like
"def render_user_profile(name, bio):
    html = f""<h1>{name}</h1><p>{bio}</p>""
    return html",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def read_file(filename):
    with open(f""uploads/{filename}"", 'r') as f:
        return f.read()",1,81.44962390161041,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def load_xml_config(xml_string):
    from defusedxml.ElementTree import fromstring
    root = fromstring(xml_string)
    return root",0,24.607791999176875,cve_like_training.csv,None,safe,safe_code
"def compile_template(template):
    compiled = compile(template, '<string>', 'exec')
    exec(compiled)",1,98.48990965205148,cve_like_training.csv,CWE-94,code_injection,cve_like
"def connect_to_db():
    import os
    password = os.environ.get('DB_PASSWORD')
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",0,21.198055157077484,cve_like_training.csv,None,safe,safe_code
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def ping_host(hostname):
    import ipaddress
    ipaddress.ip_address(hostname)  # Validate
    result = subprocess.run([""ping"", ""-c"", ""4"", hostname], capture_output=True)
    return result.stdout",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def get_user(user_id):
    query = ""SELECT * FROM users WHERE id="" + str(user_id)
    cursor.execute(query)
    return cursor.fetchone()",1,97.53449497677276,cve_like_training.csv,CWE-89,sql_injection,cve_like
"def load_xml_config(xml_string):
    from defusedxml.ElementTree import fromstring
    root = fromstring(xml_string)
    return root",0,16.031492191586718,cve_like_training.csv,None,safe,safe_code
"def get_user(user_id):
    query = ""SELECT * FROM users WHERE id=?""
    cursor.execute(query, (user_id,))
    return cursor.fetchone()",0,10.08611291121532,cve_like_training.csv,None,safe,safe_code
"def display_comment(comment):
    import html
    safe_comment = html.escape(comment)
    return f""<div class='comment'>{safe_comment}</div>""",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def load_xml_config(xml_string):
    import xml.etree.ElementTree as ET
    root = ET.fromstring(xml_string)
    return root",1,79.51142190273974,cve_like_training.csv,CWE-611,xxe,cve_like
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def load_session(session_data):
    import pickle
    return pickle.loads(session_data)",1,83.53796368092085,cve_like_training.csv,CWE-502,deserialization,cve_like
"def load_xml_config(xml_string):
    from defusedxml.ElementTree import fromstring
    root = fromstring(xml_string)
    return root",0,17.3326712707637,cve_like_training.csv,None,safe,safe_code
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"# API endpoint
yaml.load(user_yaml)",1,100.0,training_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
"def connect_to_db():
    import os
    password = os.environ.get('DB_PASSWORD')
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def show_error(error_msg):
    return ""<div class='error'>"" + error_msg + ""</div>""",1,83.97429577079286,cve_like_training.csv,CWE-79,xss,cve_like
"def display_comment(comment):
    import html
    safe_comment = html.escape(comment)
    return f""<div class='comment'>{safe_comment}</div>""",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def include_file(file_path):
    return open(file_path, 'r').read()",1,77.8974291711137,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def load_session(session_data):
    import json
    return json.loads(session_data)",0,21.718739315518,cve_like_training.csv,None,safe,safe_code
"def render_user_profile(name, bio):
    html = f""<h1>{name}</h1><p>{bio}</p>""
    return html",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def parse_expression(expr):
    return eval(f""calculate({expr})"")",1,80.0,real_cve_dataset.csv,CWE-94,code_injection,pattern_analysis
"def login(username, password):
    sql = f""SELECT * FROM users WHERE username='{username}' AND password='{password}'""
    return db.execute(sql).fetchone()",1,98.65988101455751,cve_like_training.csv,CWE-89,sql_injection,cve_like
"def authenticate():
    import os
    API_KEY = os.environ.get('API_KEY')
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def backup_file(filename):
    safe_filename = os.path.basename(filename)
    subprocess.run([""tar"", ""-czf"", ""backup.tar.gz"", safe_filename])",0,15.427446785140122,cve_like_training.csv,None,safe,safe_code
"def get_log_file(log_name):
    log_path = f""/var/logs/{log_name}""
    with open(log_path) as f:
        return f.read()",1,80.55951221851,cve_like_training.csv,CWE-22,path_traversal,cve_like
"def calculate():
    with open('config.json', 'r') as f: data = json.load(f)
    return result",0,17.22481369231819,training_dataset.csv,None,safe,safe_code
result = ' '.join(words),0,6.128636359335175,training_dataset.csv,None,safe,safe_code
"def restore_object(data):
    import json
    obj = json.loads(base64.b64decode(data))
    return obj",0,23.5998587564539,cve_like_training.csv,None,safe,safe_code
"def read_file(filename):
    safe_name = os.path.basename(filename)
    safe_path = os.path.join(""uploads"", safe_name)
    if not os.path.abspath(safe_path).startswith(os.path.abspath(""uploads"")):
        raise ValueError(""Invalid path"")
    with open(safe_path, 'r') as f:
        return f.read()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def render_user_profile(name, bio):
    html = f""<h1>{name}</h1><p>{bio}</p>""
    return html",1,80.34457055017872,cve_like_training.csv,CWE-79,xss,cve_like
"def render_user_profile(name, bio):
    from markupsafe import escape
    return f""<h1>{escape(name)}</h1><p>{escape(bio)}</p>""",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def ping_host(hostname):
    import ipaddress
    ipaddress.ip_address(hostname)  # Validate
    result = subprocess.run([""ping"", ""-c"", ""4"", hostname], capture_output=True)
    return result.stdout",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def authenticate():
    import os
    API_KEY = os.environ.get('API_KEY')
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",0,11.207750475790691,cve_like_training.csv,None,safe,safe_code
"def download_url(url):
    subprocess.call(f""wget {url}"", shell=True)",1,80.0,real_cve_dataset.csv,CWE-78,command_injection,pattern_analysis
"def load_config(config_bytes):
    import marshal
    return marshal.loads(config_bytes)",1,77.78316608996545,cve_like_training.csv,CWE-502,deserialization,cve_like
"def backup_file(filename):
    safe_filename = os.path.basename(filename)
    subprocess.run([""tar"", ""-czf"", ""backup.tar.gz"", safe_filename])",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def search_products(category):
    query = ""SELECT * FROM products WHERE category='"" + category + ""'""
    cursor.execute(query)",1,91.01509439391238,cve_like_training.csv,CWE-89,sql_injection,cve_like
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,20.0,real_cve_dataset.csv,None,safe,safe_code
result = ' '.join(words),0,18.696302614595183,training_dataset.csv,None,safe,safe_code
"subprocess.Popen(user_cmd, shell=True)",1,100.0,training_dataset.csv,CWE-78,command_injection,pattern_analysis
"def load_session(session_data):
    import pickle
    return pickle.loads(session_data)",1,77.87794046893518,cve_like_training.csv,CWE-502,deserialization,cve_like
"def parse_xml(xml_data):
    from lxml import etree
    doc = etree.parse(xml_data)
    return doc",1,73.92190837902852,cve_like_training.csv,CWE-611,xxe,cve_like
"def download_url(url):
    subprocess.call(f""wget {url}"", shell=True)",1,91.34646605446883,cve_like_training.csv,CWE-78,command_injection,cve_like
"def authenticate():
    import os
    API_KEY = os.environ.get('API_KEY')
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",0,23.941199363669696,cve_like_training.csv,None,safe,safe_code
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def load_xml_config(xml_string):
    from defusedxml.ElementTree import fromstring
    root = fromstring(xml_string)
    return root",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def read_xml_data(xml_content):
    import xml.sax
    parser = xml.sax.make_parser()
    parser.parse(xml_content)",1,76.4180005351966,cve_like_training.csv,CWE-611,xxe,cve_like
from os import system,1,58.25523248238842,training_dataset.csv,CWE-20,generic_vulnerability,fallback
"def backup_file(filename):
    safe_filename = os.path.basename(filename)
    subprocess.run([""tar"", ""-czf"", ""backup.tar.gz"", safe_filename])",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def render_user_profile(name, bio):
    html = f""<h1>{name}</h1><p>{bio}</p>""
    return html",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def display_comment(comment):
    import html
    safe_comment = html.escape(comment)
    return f""<div class='comment'>{safe_comment}</div>""",0,13.234891405725456,cve_like_training.csv,None,safe,safe_code
"def get_user(user_id):
    query = ""SELECT * FROM users WHERE id=?""
    cursor.execute(query, (user_id,))
    return cursor.fetchone()",0,17.999490808352935,cve_like_training.csv,None,safe,safe_code
"def parse_xml(xml_data):
    from lxml import etree
    doc = etree.parse(xml_data)
    return doc",1,77.01987161995616,cve_like_training.csv,CWE-611,xxe,cve_like
name = input().strip(),0,17.136869936675335,training_dataset.csv,None,safe,safe_code
"def read_xml_data(xml_content):
    import xml.sax
    parser = xml.sax.make_parser()
    parser.parse(xml_content)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def get_user(user_id):
    query = ""SELECT * FROM users WHERE id=?""
    cursor.execute(query, (user_id,))
    return cursor.fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def update_email(user_id, email):
    query = f""UPDATE users SET email='{email}' WHERE id={user_id}""
    cursor.execute(query)",1,99.65951727933044,cve_like_training.csv,CWE-89,sql_injection,cve_like
"def parse_xml(xml_data):
    from lxml import etree
    doc = etree.parse(xml_data)
    return doc",1,80.0,real_cve_dataset.csv,CWE-611,xxe,pattern_analysis
"def read_xml_data(xml_content):
    import xml.sax
    parser = xml.sax.make_parser()
    parser.parse(xml_content)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def execute_formula(formula):
    import ast
    allowed_ops = {ast.Add, ast.Sub, ast.Mult, ast.Div}
    tree = ast.parse(formula, mode='eval')
    for node in ast.walk(tree):
        if isinstance(node, ast.operator) and type(node) not in allowed_ops:
            raise ValueError(""Invalid operation"")
    result = ast.literal_eval(formula)
    return result",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def deserialize_user(data):
    import pickle
    user = pickle.loads(data)
    return user",1,80.0,real_cve_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
logger.info('Processing complete'),0,33.10461965819886,training_dataset.csv,None,safe,safe_code
"def ping_host(hostname):
    import ipaddress
    ipaddress.ip_address(hostname)  # Validate
    result = subprocess.run([""ping"", ""-c"", ""4"", hostname], capture_output=True)
    return result.stdout",0,20.838451148703857,cve_like_training.csv,None,safe,safe_code
"def load_session(session_data):
    import json
    return json.loads(session_data)",0,10.69229007284108,cve_like_training.csv,None,safe,safe_code
"def show_error(error_msg):
    return ""<div class='error'>"" + error_msg + ""</div>""",1,81.61743331049637,cve_like_training.csv,CWE-79,xss,cve_like
"def execute_formula(formula):
    import ast
    allowed_ops = {ast.Add, ast.Sub, ast.Mult, ast.Div}
    tree = ast.parse(formula, mode='eval')
    for node in ast.walk(tree):
        if isinstance(node, ast.operator) and type(node) not in allowed_ops:
            raise ValueError(""Invalid operation"")
    result = ast.literal_eval(formula)
    return result",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def get_log_file(log_name):
    log_path = f""/var/logs/{log_name}""
    with open(log_path) as f:
        return f.read()",1,79.72149905384146,cve_like_training.csv,CWE-22,path_traversal,cve_like
__import__(module_name),1,58.47932887504781,training_dataset.csv,CWE-470,unsafe_reflection,pattern_analysis
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,80.0,real_cve_dataset.csv,CWE-20,generic_vulnerability,fallback
"def load_template(template_name):
    allowed_templates = ['index.html', 'about.html', 'contact.html']
    if template_name not in allowed_templates:
        raise ValueError(""Invalid template"")
    return open(f""templates/{template_name}"").read()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,10.52933215768817,cve_like_training.csv,None,safe,safe_code
"def connect_to_db():
    import os
    password = os.environ.get('DB_PASSWORD')
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def login(username, password):
    sql = ""SELECT * FROM users WHERE username=? AND password=?""
    return db.execute(sql, (username, password)).fetchone()",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"# User input handler
try:
    open(user_path)
except: pass",1,99.63315359793728,training_dataset.csv,CWE-20,generic_vulnerability,fallback
"def load_session(session_data):
    import pickle
    return pickle.loads(session_data)",1,80.0,real_cve_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
"def convert_image(input_file, output_file):
    cmd = f""convert {input_file} {output_file}""
    os.system(cmd)",1,93.00719224818285,cve_like_training.csv,CWE-78,command_injection,cve_like
"def calculate():
    from datetime import datetime
    return result",0,31.7095801524666,training_dataset.csv,None,safe,safe_code
"def calculate():
    reversed_list = list(reversed(items))
    return result",0,18.806995413608675,training_dataset.csv,None,safe,safe_code
"def authenticate():
    import os
    API_KEY = os.environ.get('API_KEY')
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def ping_host(hostname):
    result = subprocess.run(f""ping -c 4 {hostname}"", shell=True)
    return result.stdout",1,93.49210841126092,cve_like_training.csv,CWE-78,command_injection,cve_like
"def load_xml_config(xml_string):
    from defusedxml.ElementTree import fromstring
    root = fromstring(xml_string)
    return root",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def parse_xml(xml_data):
    from defusedxml import ElementTree
    doc = ElementTree.parse(xml_data)
    return doc",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"def search_results(query):
    return f""<div>Results for: {query}</div>""",1,86.88282805379563,cve_like_training.csv,CWE-79,xss,cve_like
"def authenticate():
    import os
    API_KEY = os.environ.get('API_KEY')
    return requests.get(url, headers={""Authorization"": f""Bearer {API_KEY}""})",0,20.0,real_cve_dataset.csv,None,safe,safe_code
"# User input handler
try:
    etree.fromstring(user_xml)
except: pass",1,91.5800882819302,training_dataset.csv,CWE-611,xxe,pattern_analysis
"def handle_request(user_input):
    pickle.load(open(file, 'rb'))",1,100.0,training_dataset.csv,CWE-502,insecure_deserialization,pattern_analysis
"def connect_to_db():
    password = ""admin123""
    conn = psycopg2.connect(host=""localhost"", password=password)
    return conn",1,80.0,real_cve_dataset.csv,CWE-798,hardcoded_credentials,pattern_analysis
"def encrypt_data(data):
    key = ""my_secret_key_12345""
    cipher = AES.new(key.encode(), AES.MODE_EAX)
    return cipher.encrypt(data)",1,92.034550787562,cve_like_training.csv,CWE-798,hardcoded_secrets,cve_like
